step_size,leapfrog_steps,acceptance_rate
0.001,5,0.92
0.001,10,0.7573333333333333
0.001,20,0.26666666666666666
0.001,30,0.5573333333333333
0.002,5,0.6306666666666667
0.002,10,0.73
0.002,20,0.38266666666666665
0.002,30,0.54
0.003,5,0.5946666666666667
0.003,10,0.8906666666666667
0.003,20,0.6466666666666666
0.003,30,1.0
0.005,5,0.5586666666666666
0.005,10,0.7973333333333333
0.005,20,0.146
0.005,30,0.23066666666666666
0.01,5,0.9413333333333334
0.01,10,0.6446666666666667
0.01,20,0.7326666666666667
0.01,30,0.6126666666666667
