,CT1,CT2,CT3,CT4,CT5
x_cont1,1.61399,2.4495301,-1.1530102,-0.33435348,0.0
x_cont2,-1.1745497,-0.68305796,-0.22088325,1.9310919,0.0
x_cont3,2.2484925,0.90279275,0.019729601,0.23634218,0.0
x_cont4,0.0,0.0,0.0,0.0,0.0
x_cont5,0.0,0.0,0.0,0.0,0.0
x_cont6,0.0,0.0,0.0,0.0,0.0
x_cont7,0.0,0.0,0.0,0.0,0.0
x_cont8,0.0,0.0,0.0,0.0,0.0
x_cont9,0.0,0.0,0.0,0.0,0.0
x_cont10,0.0,0.0,0.0,0.0,0.0
x_cont11,0.0,0.0,0.0,0.0,0.0
x_cont12,0.0,0.0,0.0,0.0,0.0
x_cont13,0.0,0.0,0.0,0.0,0.0
x_cont14,0.0,0.0,0.0,0.0,0.0
x_cont15,0.0,0.0,0.0,0.0,0.0
x_cont16,0.0,0.0,0.0,0.0,0.0
x_cont17,0.0,0.0,0.0,0.0,0.0
x_cont18,0.0,0.0,0.0,0.0,0.0
x_cont19,0.0,0.0,0.0,0.0,0.0
x_cont20,0.0,0.0,0.0,0.0,0.0
x_cont21,0.0,0.0,0.0,0.0,0.0
x_cont22,0.0,0.0,0.0,0.0,0.0
x_cont23,0.0,0.0,0.0,0.0,0.0
x_cont24,0.0,0.0,0.0,0.0,0.0
x_cont25,0.0,0.0,0.0,0.0,0.0
x_cont26,0.0,0.0,0.0,0.0,0.0
x_cont27,0.0,0.0,0.0,0.0,0.0
x_cont28,0.0,0.0,0.0,0.0,0.0
x_cont29,0.0,0.0,0.0,0.0,0.0
x_cont30,0.0,0.0,0.0,0.0,0.0
x_cont31,0.0,0.0,0.0,0.0,0.0
x_cont32,0.0,0.0,0.0,0.0,0.0
x_cont33,0.0,0.0,0.0,0.0,0.0
x_cont34,0.0,0.0,0.0,0.0,0.0
x_cont35,0.0,0.0,0.0,0.0,0.0
x_cont36,0.0,0.0,0.0,0.0,0.0
x_cont37,0.0,0.0,0.0,0.0,0.0
x_cont38,0.0,0.0,0.0,0.0,0.0
x_cont39,0.0,0.0,0.0,0.0,0.0
x_cont40,0.0,0.0,0.0,0.0,0.0
x_cont41,0.0,0.0,0.0,0.0,0.0
x_cont42,0.0,0.0,0.0,0.0,0.0
x_cont43,0.0,0.0,0.0,0.0,0.0
x_cont44,0.0,0.0,0.0,0.0,0.0
x_cont45,0.0,0.0,0.0,0.0,0.0
x_cont46,0.0,0.0,0.0,0.0,0.0
x_cont47,0.0,0.0,0.0,0.0,0.0
x_cont48,0.0,0.0,0.0,0.0,0.0
x_cont49,0.0,0.0,0.0,0.0,0.0
x_cont50,0.0,0.0,0.0,0.0,0.0
x_cont51,0.0,0.0,0.0,0.0,0.0
x_cont52,0.0,0.0,0.0,0.0,0.0
x_cont53,0.0,0.0,0.0,0.0,0.0
x_cont54,0.0,0.0,0.0,0.0,0.0
x_cont55,0.0,0.0,0.0,0.0,0.0
x_cont56,0.0,0.0,0.0,0.0,0.0
x_cont57,0.0,0.0,0.0,0.0,0.0
x_cont58,0.0,0.0,0.0,0.0,0.0
x_cont59,0.0,0.0,0.0,0.0,0.0
x_cont60,0.0,0.0,0.0,0.0,0.0
x_cont61,0.0,0.0,0.0,0.0,0.0
x_cont62,0.0,0.0,0.0,0.0,0.0
x_cont63,0.0,0.0,0.0,0.0,0.0
x_cont64,0.0,0.0,0.0,0.0,0.0
x_cont65,0.0,0.0,0.0,0.0,0.0
x_cont66,0.0,0.0,0.0,0.0,0.0
x_cont67,0.0,0.0,0.0,0.0,0.0
x_cont68,0.0,0.0,0.0,0.0,0.0
x_cont69,0.0,0.0,0.0,0.0,0.0
x_cont70,0.0,0.0,0.0,0.0,0.0
x_cont71,0.0,0.0,0.0,0.0,0.0
x_cont72,0.0,0.0,0.0,0.0,0.0
x_cont73,0.0,0.0,0.0,0.0,0.0
x_cont74,0.0,0.0,0.0,0.0,0.0
x_cont75,0.0,0.0,0.0,0.0,0.0
x_cont76,0.0,0.0,0.0,0.0,0.0
x_cont77,0.0,0.0,0.0,0.0,0.0
x_cont78,0.0,0.0,0.0,0.0,0.0
x_cont79,0.0,0.0,0.0,0.0,0.0
x_cont80,0.0,0.0,0.0,0.0,0.0
x_cont81,0.0,0.0,0.0,0.0,0.0
x_cont82,0.0,0.0,0.0,0.0,0.0
x_cont83,0.0,0.0,0.0,0.0,0.0
x_cont84,0.0,0.0,0.0,0.0,0.0
x_cont85,0.0,0.0,0.0,0.0,0.0
x_cont86,0.0,0.0,0.0,0.0,0.0
x_cont87,0.0,0.0,0.0,0.0,0.0
x_cont88,0.0,0.0,0.0,0.0,0.0
x_cont89,0.0,0.0,0.0,0.0,0.0
x_cont90,0.0,0.0,0.0,0.0,0.0
x_cont91,0.0,0.0,0.0,0.0,0.0
x_cont92,0.0,0.0,0.0,0.0,0.0
x_cont93,0.0,0.0,0.0,0.0,0.0
x_cont94,0.0,0.0,0.0,0.0,0.0
x_cont95,0.0,0.0,0.0,0.0,0.0
x_cont96,0.0,0.0,0.0,0.0,0.0
x_cont97,0.0,0.0,0.0,0.0,0.0
x_cont98,0.0,0.0,0.0,0.0,0.0
x_cont99,0.0,0.0,0.0,0.0,0.0
x_cont100,0.0,0.0,0.0,0.0,0.0
x_cont101,0.0,0.0,0.0,0.0,0.0
x_cont102,0.0,0.0,0.0,0.0,0.0
x_cont103,0.0,0.0,0.0,0.0,0.0
x_cont104,0.0,0.0,0.0,0.0,0.0
x_cont105,0.0,0.0,0.0,0.0,0.0
x_cont106,0.0,0.0,0.0,0.0,0.0
x_cont107,0.0,0.0,0.0,0.0,0.0
x_cont108,0.0,0.0,0.0,0.0,0.0
x_cont109,0.0,0.0,0.0,0.0,0.0
x_cont110,0.0,0.0,0.0,0.0,0.0
x_cont111,0.0,0.0,0.0,0.0,0.0
x_cont112,0.0,0.0,0.0,0.0,0.0
x_cont113,0.0,0.0,0.0,0.0,0.0
x_cont114,0.0,0.0,0.0,0.0,0.0
x_cont115,0.0,0.0,0.0,0.0,0.0
x_cont116,0.0,0.0,0.0,0.0,0.0
x_cont117,0.0,0.0,0.0,0.0,0.0
x_cont118,0.0,0.0,0.0,0.0,0.0
x_cont119,0.0,0.0,0.0,0.0,0.0
x_cont120,0.0,0.0,0.0,0.0,0.0
x_cont121,0.0,0.0,0.0,0.0,0.0
x_cont122,0.0,0.0,0.0,0.0,0.0
x_cont123,0.0,0.0,0.0,0.0,0.0
x_cont124,0.0,0.0,0.0,0.0,0.0
x_cont125,0.0,0.0,0.0,0.0,0.0
x_cont126,0.0,0.0,0.0,0.0,0.0
x_cont127,0.0,0.0,0.0,0.0,0.0
x_cont128,0.0,0.0,0.0,0.0,0.0
x_cont129,0.0,0.0,0.0,0.0,0.0
x_cont130,0.0,0.0,0.0,0.0,0.0
x_cont131,0.0,0.0,0.0,0.0,0.0
x_cont132,0.0,0.0,0.0,0.0,0.0
x_cont133,0.0,0.0,0.0,0.0,0.0
x_cont134,0.0,0.0,0.0,0.0,0.0
x_cont135,0.0,0.0,0.0,0.0,0.0
x_cont136,0.0,0.0,0.0,0.0,0.0
x_cont137,0.0,0.0,0.0,0.0,0.0
x_cont138,0.0,0.0,0.0,0.0,0.0
x_cont139,0.0,0.0,0.0,0.0,0.0
x_cont140,0.0,0.0,0.0,0.0,0.0
x_cont141,0.0,0.0,0.0,0.0,0.0
x_cont142,0.0,0.0,0.0,0.0,0.0
x_cont143,0.0,0.0,0.0,0.0,0.0
x_cont144,0.0,0.0,0.0,0.0,0.0
x_cont145,0.0,0.0,0.0,0.0,0.0
x_cont146,0.0,0.0,0.0,0.0,0.0
x_cont147,0.0,0.0,0.0,0.0,0.0
x_cont148,0.0,0.0,0.0,0.0,0.0
x_cont149,0.0,0.0,0.0,0.0,0.0
x_cont150,0.0,0.0,0.0,0.0,0.0
x_cont151,0.0,0.0,0.0,0.0,0.0
x_cont152,0.0,0.0,0.0,0.0,0.0
x_cont153,0.0,0.0,0.0,0.0,0.0
x_cont154,0.0,0.0,0.0,0.0,0.0
x_cont155,0.0,0.0,0.0,0.0,0.0
x_cont156,0.0,0.0,0.0,0.0,0.0
x_cont157,0.0,0.0,0.0,0.0,0.0
x_cont158,0.0,0.0,0.0,0.0,0.0
x_cont159,0.0,0.0,0.0,0.0,0.0
x_cont160,0.0,0.0,0.0,0.0,0.0
x_cont161,0.0,0.0,0.0,0.0,0.0
x_cont162,0.0,0.0,0.0,0.0,0.0
x_cont163,0.0,0.0,0.0,0.0,0.0
x_cont164,0.0,0.0,0.0,0.0,0.0
x_cont165,0.0,0.0,0.0,0.0,0.0
x_cont166,0.0,0.0,0.0,0.0,0.0
x_cont167,0.0,0.0,0.0,0.0,0.0
x_cont168,0.0,0.0,0.0,0.0,0.0
x_cont169,0.0,0.0,0.0,0.0,0.0
x_cont170,0.0,0.0,0.0,0.0,0.0
x_cont171,0.0,0.0,0.0,0.0,0.0
x_cont172,0.0,0.0,0.0,0.0,0.0
x_cont173,0.0,0.0,0.0,0.0,0.0
x_cont174,0.0,0.0,0.0,0.0,0.0
x_cont175,0.0,0.0,0.0,0.0,0.0
x_cont176,0.0,0.0,0.0,0.0,0.0
x_cont177,0.0,0.0,0.0,0.0,0.0
x_cont178,0.0,0.0,0.0,0.0,0.0
x_cont179,0.0,0.0,0.0,0.0,0.0
x_cont180,0.0,0.0,0.0,0.0,0.0
x_cont181,0.0,0.0,0.0,0.0,0.0
x_cont182,0.0,0.0,0.0,0.0,0.0
x_cont183,0.0,0.0,0.0,0.0,0.0
x_cont184,0.0,0.0,0.0,0.0,0.0
x_cont185,0.0,0.0,0.0,0.0,0.0
x_cont186,0.0,0.0,0.0,0.0,0.0
x_cont187,0.0,0.0,0.0,0.0,0.0
x_cont188,0.0,0.0,0.0,0.0,0.0
x_cont189,0.0,0.0,0.0,0.0,0.0
x_cont190,0.0,0.0,0.0,0.0,0.0
x_cont191,0.0,0.0,0.0,0.0,0.0
x_cont192,0.0,0.0,0.0,0.0,0.0
x_cont193,0.0,0.0,0.0,0.0,0.0
x_cont194,0.0,0.0,0.0,0.0,0.0
x_cont195,0.0,0.0,0.0,0.0,0.0
x_cont196,0.0,0.0,0.0,0.0,0.0
x_cont197,0.0,0.0,0.0,0.0,0.0
x_cont198,0.0,0.0,0.0,0.0,0.0
x_cont199,0.0,0.0,0.0,0.0,0.0
x_cont200,0.0,0.0,0.0,0.0,0.0
x_cont201,0.0,0.0,0.0,0.0,0.0
x_cont202,0.0,0.0,0.0,0.0,0.0
x_cont203,0.0,0.0,0.0,0.0,0.0
x_cont204,0.0,0.0,0.0,0.0,0.0
x_cont205,0.0,0.0,0.0,0.0,0.0
x_cont206,0.0,0.0,0.0,0.0,0.0
x_cont207,0.0,0.0,0.0,0.0,0.0
x_cont208,0.0,0.0,0.0,0.0,0.0
x_cont209,0.0,0.0,0.0,0.0,0.0
x_cont210,0.0,0.0,0.0,0.0,0.0
x_cont211,0.0,0.0,0.0,0.0,0.0
x_cont212,0.0,0.0,0.0,0.0,0.0
x_cont213,0.0,0.0,0.0,0.0,0.0
x_cont214,0.0,0.0,0.0,0.0,0.0
x_cont215,0.0,0.0,0.0,0.0,0.0
x_cont216,0.0,0.0,0.0,0.0,0.0
x_cont217,0.0,0.0,0.0,0.0,0.0
x_cont218,0.0,0.0,0.0,0.0,0.0
x_cont219,0.0,0.0,0.0,0.0,0.0
x_cont220,0.0,0.0,0.0,0.0,0.0
x_cont221,0.0,0.0,0.0,0.0,0.0
x_cont222,0.0,0.0,0.0,0.0,0.0
x_cont223,0.0,0.0,0.0,0.0,0.0
x_cont224,0.0,0.0,0.0,0.0,0.0
x_cont225,0.0,0.0,0.0,0.0,0.0
x_cont226,0.0,0.0,0.0,0.0,0.0
x_cont227,0.0,0.0,0.0,0.0,0.0
x_cont228,0.0,0.0,0.0,0.0,0.0
x_cont229,0.0,0.0,0.0,0.0,0.0
x_cont230,0.0,0.0,0.0,0.0,0.0
x_cont231,0.0,0.0,0.0,0.0,0.0
x_cont232,0.0,0.0,0.0,0.0,0.0
x_cont233,0.0,0.0,0.0,0.0,0.0
x_cont234,0.0,0.0,0.0,0.0,0.0
x_cont235,0.0,0.0,0.0,0.0,0.0
x_cont236,0.0,0.0,0.0,0.0,0.0
x_cont237,0.0,0.0,0.0,0.0,0.0
x_cont238,0.0,0.0,0.0,0.0,0.0
x_cont239,0.0,0.0,0.0,0.0,0.0
x_cont240,0.0,0.0,0.0,0.0,0.0
x_cont241,0.0,0.0,0.0,0.0,0.0
x_cont242,0.0,0.0,0.0,0.0,0.0
x_cont243,0.0,0.0,0.0,0.0,0.0
x_cont244,0.0,0.0,0.0,0.0,0.0
x_cont245,0.0,0.0,0.0,0.0,0.0
x_cont246,0.0,0.0,0.0,0.0,0.0
x_cont247,0.0,0.0,0.0,0.0,0.0
x_cont248,0.0,0.0,0.0,0.0,0.0
x_cont249,0.0,0.0,0.0,0.0,0.0
x_cont250,0.0,0.0,0.0,0.0,0.0
x_cont251,0.0,0.0,0.0,0.0,0.0
x_cont252,0.0,0.0,0.0,0.0,0.0
x_cont253,0.0,0.0,0.0,0.0,0.0
x_cont254,0.0,0.0,0.0,0.0,0.0
x_cont255,0.0,0.0,0.0,0.0,0.0
x_cont256,0.0,0.0,0.0,0.0,0.0
x_cont257,0.0,0.0,0.0,0.0,0.0
x_cont258,0.0,0.0,0.0,0.0,0.0
x_cont259,0.0,0.0,0.0,0.0,0.0
x_cont260,0.0,0.0,0.0,0.0,0.0
x_cont261,0.0,0.0,0.0,0.0,0.0
x_cont262,0.0,0.0,0.0,0.0,0.0
x_cont263,0.0,0.0,0.0,0.0,0.0
x_cont264,0.0,0.0,0.0,0.0,0.0
x_cont265,0.0,0.0,0.0,0.0,0.0
x_cont266,0.0,0.0,0.0,0.0,0.0
x_cont267,0.0,0.0,0.0,0.0,0.0
x_cont268,0.0,0.0,0.0,0.0,0.0
x_cont269,0.0,0.0,0.0,0.0,0.0
x_cont270,0.0,0.0,0.0,0.0,0.0
x_cont271,0.0,0.0,0.0,0.0,0.0
x_cont272,0.0,0.0,0.0,0.0,0.0
x_cont273,0.0,0.0,0.0,0.0,0.0
x_cont274,0.0,0.0,0.0,0.0,0.0
x_cont275,0.0,0.0,0.0,0.0,0.0
x_cont276,0.0,0.0,0.0,0.0,0.0
x_cont277,0.0,0.0,0.0,0.0,0.0
x_cont278,0.0,0.0,0.0,0.0,0.0
x_cont279,0.0,0.0,0.0,0.0,0.0
x_cont280,0.0,0.0,0.0,0.0,0.0
x_cont281,0.0,0.0,0.0,0.0,0.0
x_cont282,0.0,0.0,0.0,0.0,0.0
x_cont283,0.0,0.0,0.0,0.0,0.0
x_cont284,0.0,0.0,0.0,0.0,0.0
x_cont285,0.0,0.0,0.0,0.0,0.0
x_cont286,0.0,0.0,0.0,0.0,0.0
x_cont287,0.0,0.0,0.0,0.0,0.0
x_cont288,0.0,0.0,0.0,0.0,0.0
x_cont289,0.0,0.0,0.0,0.0,0.0
x_cont290,0.0,0.0,0.0,0.0,0.0
x_cont291,0.0,0.0,0.0,0.0,0.0
x_cont292,0.0,0.0,0.0,0.0,0.0
x_cont293,0.0,0.0,0.0,0.0,0.0
x_cont294,0.0,0.0,0.0,0.0,0.0
x_cont295,0.0,0.0,0.0,0.0,0.0
x_cont296,0.0,0.0,0.0,0.0,0.0
x_cont297,0.0,0.0,0.0,0.0,0.0
x_cont298,0.0,0.0,0.0,0.0,0.0
x_cont299,0.0,0.0,0.0,0.0,0.0
x_cont300,0.0,0.0,0.0,0.0,0.0
x_cont301,0.0,0.0,0.0,0.0,0.0
x_cont302,0.0,0.0,0.0,0.0,0.0
x_cont303,0.0,0.0,0.0,0.0,0.0
x_cont304,0.0,0.0,0.0,0.0,0.0
x_cont305,0.0,0.0,0.0,0.0,0.0
x_cont306,0.0,0.0,0.0,0.0,0.0
x_cont307,0.0,0.0,0.0,0.0,0.0
x_cont308,0.0,0.0,0.0,0.0,0.0
x_cont309,0.0,0.0,0.0,0.0,0.0
x_cont310,0.0,0.0,0.0,0.0,0.0
x_cont311,0.0,0.0,0.0,0.0,0.0
x_cont312,0.0,0.0,0.0,0.0,0.0
x_cont313,0.0,0.0,0.0,0.0,0.0
x_cont314,0.0,0.0,0.0,0.0,0.0
x_cont315,0.0,0.0,0.0,0.0,0.0
x_cont316,0.0,0.0,0.0,0.0,0.0
x_cont317,0.0,0.0,0.0,0.0,0.0
x_cont318,0.0,0.0,0.0,0.0,0.0
x_cont319,0.0,0.0,0.0,0.0,0.0
x_cont320,0.0,0.0,0.0,0.0,0.0
x_cont321,0.0,0.0,0.0,0.0,0.0
x_cont322,0.0,0.0,0.0,0.0,0.0
x_cont323,0.0,0.0,0.0,0.0,0.0
x_cont324,0.0,0.0,0.0,0.0,0.0
x_cont325,0.0,0.0,0.0,0.0,0.0
x_cont326,0.0,0.0,0.0,0.0,0.0
x_cont327,0.0,0.0,0.0,0.0,0.0
x_cont328,0.0,0.0,0.0,0.0,0.0
x_cont329,0.0,0.0,0.0,0.0,0.0
x_cont330,0.0,0.0,0.0,0.0,0.0
x_cont331,0.0,0.0,0.0,0.0,0.0
x_cont332,0.0,0.0,0.0,0.0,0.0
x_cont333,0.0,0.0,0.0,0.0,0.0
x_cont334,0.0,0.0,0.0,0.0,0.0
x_cont335,0.0,0.0,0.0,0.0,0.0
x_cont336,0.0,0.0,0.0,0.0,0.0
x_cont337,0.0,0.0,0.0,0.0,0.0
x_cont338,0.0,0.0,0.0,0.0,0.0
x_cont339,0.0,0.0,0.0,0.0,0.0
x_cont340,0.0,0.0,0.0,0.0,0.0
x_cont341,0.0,0.0,0.0,0.0,0.0
x_cont342,0.0,0.0,0.0,0.0,0.0
x_cont343,0.0,0.0,0.0,0.0,0.0
x_cont344,0.0,0.0,0.0,0.0,0.0
x_cont345,0.0,0.0,0.0,0.0,0.0
x_cont346,0.0,0.0,0.0,0.0,0.0
x_cont347,0.0,0.0,0.0,0.0,0.0
x_cont348,0.0,0.0,0.0,0.0,0.0
x_cont349,0.0,0.0,0.0,0.0,0.0
x_cont350,0.0,0.0,0.0,0.0,0.0
x_cont351,0.0,0.0,0.0,0.0,0.0
x_cont352,0.0,0.0,0.0,0.0,0.0
x_cont353,0.0,0.0,0.0,0.0,0.0
x_cont354,0.0,0.0,0.0,0.0,0.0
x_cont355,0.0,0.0,0.0,0.0,0.0
x_cont356,0.0,0.0,0.0,0.0,0.0
x_cont357,0.0,0.0,0.0,0.0,0.0
x_cont358,0.0,0.0,0.0,0.0,0.0
x_cont359,0.0,0.0,0.0,0.0,0.0
x_cont360,0.0,0.0,0.0,0.0,0.0
x_cont361,0.0,0.0,0.0,0.0,0.0
x_cont362,0.0,0.0,0.0,0.0,0.0
x_cont363,0.0,0.0,0.0,0.0,0.0
x_cont364,0.0,0.0,0.0,0.0,0.0
x_cont365,0.0,0.0,0.0,0.0,0.0
x_cont366,0.0,0.0,0.0,0.0,0.0
x_cont367,0.0,0.0,0.0,0.0,0.0
x_cont368,0.0,0.0,0.0,0.0,0.0
x_cont369,0.0,0.0,0.0,0.0,0.0
x_cont370,0.0,0.0,0.0,0.0,0.0
x_cont371,0.0,0.0,0.0,0.0,0.0
x_cont372,0.0,0.0,0.0,0.0,0.0
x_cont373,0.0,0.0,0.0,0.0,0.0
x_cont374,0.0,0.0,0.0,0.0,0.0
x_cont375,0.0,0.0,0.0,0.0,0.0
x_cont376,0.0,0.0,0.0,0.0,0.0
x_cont377,0.0,0.0,0.0,0.0,0.0
x_cont378,0.0,0.0,0.0,0.0,0.0
x_cont379,0.0,0.0,0.0,0.0,0.0
x_cont380,0.0,0.0,0.0,0.0,0.0
