,CT1,CT2,CT3,CT4,CT5
x_cont1,1.61399,2.4495301,-1.1530102,-0.33435348,0.0
x_cont2,-1.1745497,-0.68305796,-0.22088325,1.9310919,0.0
x_cont3,2.2484925,0.90279275,0.019729601,0.23634218,0.0
x_cont4,0.0,0.0,0.0,0.0,0.0
x_cont5,0.0,0.0,0.0,0.0,0.0
x_cont6,0.0,0.0,0.0,0.0,0.0
x_cont7,0.0,0.0,0.0,0.0,0.0
x_cont8,0.0,0.0,0.0,0.0,0.0
x_cont9,0.0,0.0,0.0,0.0,0.0
x_cont10,0.0,0.0,0.0,0.0,0.0
x_cont11,0.0,0.0,0.0,0.0,0.0
x_cont12,0.0,0.0,0.0,0.0,0.0
x_cont13,0.0,0.0,0.0,0.0,0.0
x_cont14,0.0,0.0,0.0,0.0,0.0
x_cont15,0.0,0.0,0.0,0.0,0.0
x_cont16,0.0,0.0,0.0,0.0,0.0
x_cont17,0.0,0.0,0.0,0.0,0.0
x_cont18,0.0,0.0,0.0,0.0,0.0
x_cont19,0.0,0.0,0.0,0.0,0.0
x_cont20,0.0,0.0,0.0,0.0,0.0
x_cont21,0.0,0.0,0.0,0.0,0.0
x_cont22,0.0,0.0,0.0,0.0,0.0
x_cont23,0.0,0.0,0.0,0.0,0.0
x_cont24,0.0,0.0,0.0,0.0,0.0
x_cont25,0.0,0.0,0.0,0.0,0.0
x_cont26,0.0,0.0,0.0,0.0,0.0
x_cont27,0.0,0.0,0.0,0.0,0.0
x_cont28,0.0,0.0,0.0,0.0,0.0
x_cont29,0.0,0.0,0.0,0.0,0.0
x_cont30,0.0,0.0,0.0,0.0,0.0
x_cont31,0.0,0.0,0.0,0.0,0.0
x_cont32,0.0,0.0,0.0,0.0,0.0
x_cont33,0.0,0.0,0.0,0.0,0.0
x_cont34,0.0,0.0,0.0,0.0,0.0
x_cont35,0.0,0.0,0.0,0.0,0.0
x_cont36,0.0,0.0,0.0,0.0,0.0
x_cont37,0.0,0.0,0.0,0.0,0.0
x_cont38,0.0,0.0,0.0,0.0,0.0
x_cont39,0.0,0.0,0.0,0.0,0.0
x_cont40,0.0,0.0,0.0,0.0,0.0
x_cont41,0.0,0.0,0.0,0.0,0.0
x_cont42,0.0,0.0,0.0,0.0,0.0
x_cont43,0.0,0.0,0.0,0.0,0.0
x_cont44,0.0,0.0,0.0,0.0,0.0
x_cont45,0.0,0.0,0.0,0.0,0.0
x_cont46,0.0,0.0,0.0,0.0,0.0
x_cont47,0.0,0.0,0.0,0.0,0.0
x_cont48,0.0,0.0,0.0,0.0,0.0
x_cont49,0.0,0.0,0.0,0.0,0.0
x_cont50,0.0,0.0,0.0,0.0,0.0
x_cont51,0.0,0.0,0.0,0.0,0.0
x_cont52,0.0,0.0,0.0,0.0,0.0
x_cont53,0.0,0.0,0.0,0.0,0.0
x_cont54,0.0,0.0,0.0,0.0,0.0
x_cont55,0.0,0.0,0.0,0.0,0.0
x_cont56,0.0,0.0,0.0,0.0,0.0
x_cont57,0.0,0.0,0.0,0.0,0.0
x_cont58,0.0,0.0,0.0,0.0,0.0
x_cont59,0.0,0.0,0.0,0.0,0.0
x_cont60,0.0,0.0,0.0,0.0,0.0
x_cont61,0.0,0.0,0.0,0.0,0.0
x_cont62,0.0,0.0,0.0,0.0,0.0
x_cont63,0.0,0.0,0.0,0.0,0.0
x_cont64,0.0,0.0,0.0,0.0,0.0
x_cont65,0.0,0.0,0.0,0.0,0.0
x_cont66,0.0,0.0,0.0,0.0,0.0
x_cont67,0.0,0.0,0.0,0.0,0.0
x_cont68,0.0,0.0,0.0,0.0,0.0
x_cont69,0.0,0.0,0.0,0.0,0.0
x_cont70,0.0,0.0,0.0,0.0,0.0
x_cont71,0.0,0.0,0.0,0.0,0.0
x_cont72,0.0,0.0,0.0,0.0,0.0
x_cont73,0.0,0.0,0.0,0.0,0.0
x_cont74,0.0,0.0,0.0,0.0,0.0
x_cont75,0.0,0.0,0.0,0.0,0.0
x_cont76,0.0,0.0,0.0,0.0,0.0
x_cont77,0.0,0.0,0.0,0.0,0.0
x_cont78,0.0,0.0,0.0,0.0,0.0
x_cont79,0.0,0.0,0.0,0.0,0.0
x_cont80,0.0,0.0,0.0,0.0,0.0
x_cont81,0.0,0.0,0.0,0.0,0.0
x_cont82,0.0,0.0,0.0,0.0,0.0
x_cont83,0.0,0.0,0.0,0.0,0.0
x_cont84,0.0,0.0,0.0,0.0,0.0
x_cont85,0.0,0.0,0.0,0.0,0.0
x_cont86,0.0,0.0,0.0,0.0,0.0
x_cont87,0.0,0.0,0.0,0.0,0.0
x_cont88,0.0,0.0,0.0,0.0,0.0
x_cont89,0.0,0.0,0.0,0.0,0.0
x_cont90,0.0,0.0,0.0,0.0,0.0
x_cont91,0.0,0.0,0.0,0.0,0.0
C(cat0)[1],0.0,0.0,0.0,0.0,0.0
C(cat0)[2],0.0,0.0,0.0,0.0,0.0
C(cat0)[3],0.0,0.0,0.0,0.0,0.0
C(cat1)[T.2],0.0,0.0,0.0,0.0,0.0
C(cat1)[T.3],0.0,0.0,0.0,0.0,0.0
C(cat2)[T.2],0.0,0.0,0.0,0.0,0.0
C(cat2)[T.3],0.0,0.0,0.0,0.0,0.0
x_bin1,0.0,0.0,0.0,0.0,0.0
x_bin2,0.0,0.0,0.0,0.0,0.0
